제품,상세설명,AC or DC,제품군,보호종류,통신여부,통신종류,누설(지락),단락,과전류/저전류,결상,역상,과전압/저전압,전력,내장 ZCT,,,,,,,,
EOCRDZ-60NM7,EOCR-DZ 60 N 220(ONLY),AC,Analog,전류,비통신,불가,가능,불가,과전류,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRDZ-60RF7,EOCR-DZ 60 R 110(ONLY),AC,Analog,전류,비통신,불가,가능,불가,과전류,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRDZ-60RM7,EOCR-DZ 60 R 220(ONLY),AC,Analog,전류,비통신,불가,가능,불가,과전류,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRDZT-05RM7,EOCR-DZT 05 R 220,AC,Analog,전류,비통신,불가,가능,불가,과전류,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRDZT-60RM7,EOCR-DZT 60 R 220,AC,Analog,전류,비통신,불가,가능,불가,과전류,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRSE2-05NS,EOCR-SE2 05 N 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSE2-05RS,EOCR-SE2 05 R 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSE2-30NS,EOCR-SE2 30 N 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSE2-30RS,EOCR-SE2 30 R 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSE2-60NS,EOCR-SE2 60 N 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSE2-60RS,EOCR-SE2 60 R 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP01NM,EOCR-SP 01 N 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP01RF,EOCR-SP 01 R 110 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP01RM,EOCR-SP 01 R 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP10NF,EOCR-SP 10 N 110 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP10NM,EOCR-SP 10 N 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP10NB,EOCR-SP 10 N 24 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP10RF,EOCR-SP 10 R 110 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP10RM,EOCR-SP 10 R 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP10RB,EOCR-SP 10 R 24 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP20NM,EOCR-SP 20 N 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP20RF,EOCR-SP 20 R 110 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP20RM,EOCR-SP 20 R 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP20RB,EOCR-SP 20 R 24 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP40NM,EOCR-SP 40 N 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP40RF,EOCR-SP 40 R 110 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP40RM,EOCR-SP 40 R 220 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSP40RB,EOCR-SP 40 R 24 (w TVS),AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-05S,EOCR-SS 05 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-05W,EOCR-SS 05 380~440V Wide,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-05RU,EOCR-SS 05 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-D1RU,EOCR-SS 100 2CT 1c 100~220V,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-D1S,EOCR-SS 100 2CT 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-DHRU,EOCR-SS 150 2CT 1c 100~220V,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRSS-DHS,EOCR-SS 150 2CT 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
